05:23:06;254
05:24:52;254
05:26:38;254
05:28:58;254
05:31:08;254
05:33:20;252
05:35:42;252
05:49:05;243
05:52:07;233
05:58:14;233
06:00:00;233
06:01:45;235
06:03:28;236
06:05:16;236
06:06:59;234
06:08:42;233
06:10:31;233
06:12:16;233
06:14:00;230
06:15:44;230
06:17:29;232
06:19:27;234
06:23:05;220
06:30:14;12128
06:31:36;12197
06:32:51;12220
06:34:03;12231
06:35:16;12223
06:36:28;12217
06:37:41;12213
06:38:57;12213
06:40:15;12213
06:41:29;12404
06:42:42;12404
06:43:54;12603
06:45:07;12801
06:46:21;13041
06:47:34;13282
06:48:47;13522
06:50:01;13755
06:51:14;13969
06:52:27;14182
06:53:43;14410
06:54:56;14433
06:56:08;14458
06:57:21;14484
06:58:33;14467
06:59:46;14450
07:00:59;14452
07:02:12;14455
07:03:25;14477
07:04:37;14499
07:05:50;14539
07:07:03;14578
07:08:16;14616
07:09:28;14654
07:10:42;14683
07:11:55;14712
07:13:08;14721
07:14:24;14730
07:15:37;14751
07:16:50;14772
07:18:03;14775
07:19:16;14779
07:20:30;14796
07:21:47;14814
07:23:00;14839
07:24:13;14865
07:25:26;14891
07:26:39;14917
07:27:52;14931
07:29:07;14945
07:30:22;14963
07:31:35;14981
07:32:48;14984
07:34:01;14988
07:35:15;14992
07:36:29;15002
07:37:42;15013
07:38:54;15024
07:40:08;15034
07:41:22;15039
07:42:38;15039
07:43:50;15040
07:45:03;15040
07:46:16;15054
07:47:29;15068
07:48:42;15075
07:49:57;15082
07:51:11;15094
07:52:25;15106
07:53:37;15124
07:54:50;15142
07:56:03;15156
07:57:20;15170
07:58:32;15170
07:59:45;15170
08:00:58;15171
08:02:11;15171
08:03:26;15167
08:04:38;15162
08:05:51;15166
08:07:04;15171
08:08:17;15180
08:09:30;15189
08:10:48;15198
08:12:00;15207
08:13:13;15216
08:14:26;15224
08:15:38;15232
08:16:52;15240
08:18:05;15239
08:19:18;15239
08:20:32;15232
08:21:45;15225
08:22:58;15218
08:24:12;15211
08:25:25;15193
08:26:37;15176
08:27:50;15159
08:29:03;15143
08:30:18;15126
08:31:32;15115
08:32:45;15109
08:33:58;15104
08:35:11;15098
08:36:24;15089
08:37:37;15090
08:38:51;15090
08:40:04;15091
08:41:18;15093
08:42:31;15094
08:43:44;15091
08:44:57;15087
08:46:09;15070
08:47:22;15052
08:48:35;15039
08:49:48;15026
08:51:05;15008
08:52:19;14990
08:53:32;14971
08:54:45;14952
08:55:57;14897
08:57:10;14842
08:58:23;14802
08:59:38;14761
09:00:52;14700
09:02:04;14640
09:03:17;14584
09:04:29;14528
09:05:42;14453
09:06:55;14379
09:08:08;14341
09:09:20;14303
09:10:35;14244
09:11:47;14185
09:13:00;14146
09:14:13;14108
09:15:25;14046
09:16:38;13984
09:17:50;13940
